iter	Passed	Remaining
385	19514	31040
386	19557	30978
387	19605	30923
388	19652	30867
389	19694	30804
390	19740	30747
391	19780	30680
392	19824	30619
393	19865	30554
394	19905	30488
395	19946	30423
396	19993	30368
397	20037	30307
398	20083	30251
399	20127	30191
400	20169	30127
401	20211	30066
402	20255	30005
403	20299	29946
404	20348	29894
405	20389	29830
406	20432	29770
407	20477	29712
408	20520	29651
409	20569	29600
410	20614	29542
411	20660	29485
412	20704	29427
413	20748	29368
414	20789	29305
415	20836	29251
416	20877	29188
417	20918	29125
418	20960	29064
419	21000	29000
420	21043	28941
421	21089	28885
422	21133	28828
423	21176	28767
424	21217	28705
425	21260	28646
426	21305	28589
427	21350	28533
428	21411	28498
429	21460	28447
430	21506	28392
431	21565	28354
432	21617	28307
433	21663	28251
434	21708	28196
435	21750	28136
436	21794	28077
437	21835	28017
438	21876	27956
439	21917	27894
440	21959	27834
441	22000	27774
442	22048	27722
443	22091	27663
444	22132	27603
445	22176	27546
446	22219	27488
447	22263	27431
448	22310	27379
449	22354	27322
450	22400	27267
451	22443	27210
452	22486	27152
453	22528	27093
454	22576	27042
455	22623	26989
456	22667	26933
457	22712	26878
458	22759	26825
459	22801	26766
460	22843	26708
461	22885	26650
462	22927	26592
463	22968	26532
464	23007	26471
465	23053	26417
466	23106	26372
467	23151	26317
468	23194	26260
469	23236	26203
470	23278	26144
471	23325	26092
472	23367	26035
473	23410	25979
474	23452	25921
475	23495	25865
476	23538	25808
477	23587	25758
478	23633	25705
479	23677	25650
480	23724	25598
481	23764	25539
482	23810	25486
483	23850	25426
484	23892	25370
485	23935	25314
486	23975	25255
487	24015	25196
488	24062	25145
489	24109	25093
490	24152	25037
491	24197	24983
492	24240	24928
493	24285	24875
494	24327	24819
495	24370	24763
496	24416	24711
497	24458	24654
498	24504	24602
499	24551	24551
500	24599	24501
501	24645	24449
502	24691	24396
503	24732	24340
504	24772	24281
505	24818	24229
506	24859	24172
507	24901	24117
508	24941	24059
509	24983	24003
510	25024	23947
511	25071	23896
512	25113	23840
513	25154	23784
514	25198	23730
515	25240	23675
516	25286	23623
517	25328	23568
518	25371	23513
519	25413	23458
520	25456	23404
521	25497	23348
522	25545	23298
523	25595	23251
524	25638	23196
525	25685	23146
526	25726	23090
527	25766	23034
528	25811	22981
529	25851	22925
530	25890	22867
531	25932	22812
532	25972	22756
533	26014	22701
534	26058	22649
535	26102	22596
536	26145	22542
537	26187	22488
538	26236	22440
539	26295	22400
540	26347	22354
541	26393	22302
542	26435	22248
543	26479	22196
544	26526	22146
545	26578	22099
546	26626	22050
547	26673	22000
548	26716	21947
549	26758	21893
550	26802	21841
551	26844	21786
552	26885	21731
553	26928	21679
554	26970	21624
555	27012	21571
556	27056	21518
557	27100	21466
558	27144	21414
559	27186	21361
560	27229	21307
561	27275	21257
562	27319	21205
563	27362	21152
564	27405	21099
565	27450	21048
566	27496	20997
567	27547	20951
568	27595	20903
569	27639	20850
570	27681	20797
571	27723	20744
572	27766	20691
573	27808	20638
574	27850	20585
575	27894	20533
576	27934	20478
577	27975	20424
578	28020	20374
579	28064	20322
580	28105	20268
581	28151	20218
582	28191	20164
583	28245	20119
584	28295	20072
585	28339	20021
586	28381	19968
587	28424	19916
588	28468	19865
589	28514	19815
590	28562	19766
591	28608	19716
592	28655	19667
593	28702	19618
594	28745	19566
595	28790	19515
596	28832	19463
597	28874	19410
598	28914	19356
599	28954	19302
600	28996	19250
601	29042	19200
602	29087	19150
603	29131	19099
604	29175	19048
605	29217	18996
606	29260	18944
607	29303	18893
608	29346	18841
609	29389	18789
610	29435	18740
611	29477	18688
612	29524	18639
613	29574	18592
614	29622	18544
615	29688	18507
616	29735	18458
617	29791	18414
618	29841	18367
619	29887	18317
620	29928	18265
621	29969	18212
622	30014	18163
623	30055	18110
624	30097	18058
625	30140	18007
626	30181	17955
627	30224	17903
628	30270	17854
629	30316	17804
630	30358	17753
631	30401	17702
632	30443	17650
633	30487	17599
634	30535	17551
635	30583	17503
636	30629	17454
637	30676	17405
638	30719	17354
639	30763	17304
640	30806	17253
641	30848	17201
642	30889	17150
643	30931	17098
644	30972	17047
645	31015	16995
646	31059	16945
647	31103	16895
648	31147	16845
649	31189	16794
650	31233	16744
651	31279	16694
652	31321	16643
653	31365	16594
654	31407	16542
655	31453	16493
656	31496	16443
657	31543	16394
658	31590	16346
659	31638	16298
660	31685	16250
661	31726	16198
662	31767	16147
663	31809	16096
664	31852	16046
665	31908	16002
666	31949	15950
667	31988	15898
668	32032	15848
669	32075	15798
670	32119	15748
671	32160	15697
672	32204	15647
673	32247	15597
674	32292	15548
675	32336	15498
676	32380	15448
677	32422	15398
678	32464	15347
679	32511	15299
680	32559	15251
681	32603	15202
682	32648	15152
683	32695	15104
684	32741	15056
685	32786	15007
686	32828	14956
687	32870	14906
688	32910	14855
689	32951	14804
690	32996	14755
691	33039	14705
692	33081	14655
693	33128	14607
694	33172	14557
695	33215	14508
696	33262	14459
697	33307	14410
698	33352	14362
699	33394	14311
700	33436	14261
701	33479	14212
702	33527	14164
703	33573	14116
704	33619	14067
705	33665	14019
706	33708	13969
707	33751	13920
708	33791	13869
709	33835	13819
710	33876	13769
711	33916	13719
712	33958	13668
713	34005	13621
714	34050	13572
715	34096	13524
716	34145	13477
717	34189	13428
718	34234	13379
719	34278	13330
720	34321	13281
721	34365	13232
722	34407	13182
723	34449	13132
724	34496	13084
725	34541	13036
726	34587	12988
727	34632	12939
728	34676	12890
729	34720	12841
730	34765	12793
731	34806	12743
732	34847	12693
733	34888	12643
734	34928	12593
735	34971	12544
736	35016	12495
737	35057	12446
738	35098	12396
739	35146	12348
740	35187	12299
741	35231	12250
742	35273	12201
743	35318	12152
744	35360	12103
745	35403	12054
746	35447	12005
747	35492	11957
748	35540	11910
749	35584	11861
750	35630	11813
751	35675	11765
752	35719	11716
753	35761	11667
754	35803	11618
755	35845	11569
756	35888	11520
757	35929	11470
758	35975	11422
759	36016	11373
760	36057	11324
761	36099	11275
762	36142	11226
763	36184	11177
764	36231	11130
765	36276	11081
766	36320	11033
767	36361	10984
768	36405	10935
769	36446	10886
770	36491	10838
771	36537	10790
772	36585	10743
773	36632	10696
774	36675	10647
775	36720	10599
776	36762	10550
777	36805	10502
778	36846	10453
779	36889	10404
780	36932	10356
781	36976	10307
782	37017	10258
783	37058	10209
784	37100	10161
785	37144	10113
786	37191	10065
787	37239	10018
788	37289	9972
789	37339	9925
790	37387	9878
791	37433	9831
792	37484	9784
793	37535	9738
794	37585	9691
795	37638	9646
796	37693	9600
797	37746	9554
798	37798	9508
799	37878	9469
800	37933	9424
801	37997	9380
802	38052	9335
803	38096	9287
804	38141	9239
805	38184	9190
806	38231	9143
807	38275	9095
808	38325	9048
809	38370	9000
810	38415	8952
811	38696	8959
812	38883	8943
813	38945	8899
814	38992	8851
815	39036	8802
816	39076	8752
817	39115	8702
818	39155	8653
819	39196	8604
820	39239	8555
821	39279	8505
822	39323	8457
823	39362	8407
824	39405	8358
825	39445	8309
826	39489	8260
827	39531	8211
828	39571	8162
829	39612	8113
830	39651	8063
831	39693	8015
832	39736	7966
833	39776	7917
834	39819	7868
835	39908	7828
836	39974	7784
837	40168	7765
838	40244	7722
839	40311	7678
840	40369	7632
841	40431	7586
842	40480	7539
843	40530	7491
844	40579	7443
845	40623	7394
846	40666	7345
847	40712	7297
848	40754	7248
849	40800	7200
850	40845	7151
851	40891	7103
852	40935	7054
853	40984	7006
854	41029	6958
855	41073	6909
856	41117	6860
857	41162	6812
858	41212	6764
859	41258	6716
860	41300	6667
861	41352	6620
862	41396	6571
863	41438	6522
864	41485	6474
865	41536	6427
866	41579	6378
867	41620	6329
868	41660	6280
869	41705	6231
870	41748	6183
871	41790	6134
872	41833	6085
873	41874	6036
874	41918	5988
875	41964	5940
876	42010	5891
877	42054	5843
878	42097	5794
879	42138	5746
880	42182	5697
881	42228	5649
882	42273	5601
883	42316	5552
884	42363	5504
885	42407	5456
886	42448	5407
887	42497	5360
888	42543	5311
889	42587	5263
890	42630	5215
891	42672	5166
892	42716	5118
893	42758	5069
894	42802	5021
895	42845	4973
896	42890	4925
897	42932	4876
898	42978	4828
899	43024	4780
900	43068	4732
901	43111	4683
902	43155	4635
903	43202	4587
904	43244	4539
905	43288	4491
906	43330	4442
907	43373	4394
908	43415	4346
909	43461	4298
910	43507	4250
911	43551	4202
912	43595	4154
913	43634	4105
914	43675	4057
915	43721	4009
916	43765	3961
917	43808	3913
918	43852	3865
919	43893	3816
920	43936	3768
921	43980	3720
922	44024	3672
923	44066	3624
924	44108	3576
925	44154	3528
926	44203	3480
927	44247	3433
928	44289	3384
929	44333	3336
930	44376	3288
931	44418	3240
932	44463	3192
933	44511	3145
934	44555	3097
935	44599	3049
936	44640	3001
937	44680	2953
938	44725	2905
939	44768	2857
940	44810	2809
941	44852	2761
942	44896	2713
943	44941	2666
944	44983	2618
945	45026	2570
946	45068	2522
947	45114	2474
948	45156	2426
949	45205	2379
950	45250	2331
951	45294	2283
952	45335	2235
953	45382	2188
954	45425	2140
955	45475	2093
956	45521	2045
957	45564	1997
958	45604	1949
959	45644	1901
960	45688	1854
961	45728	1806
962	45773	1758
963	45816	1711
964	45861	1663
965	45905	1615
966	45952	1568
967	45998	1520
968	46041	1472
969	46104	1425
970	46157	1378
971	46213	1331
972	46264	1283
973	46310	1236
974	46353	1188
975	46399	1140
976	46446	1093
977	46490	1045
978	46536	998
979	46583	950
980	46628	903
981	46667	855
982	46711	807
983	46755	760
984	46795	712
985	46835	665
986	46876	617
987	46919	569
988	46967	522
989	47011	474
990	47055	427
991	47100	379
992	47142	332
993	47189	284
994	47235	237
995	47277	189
996	47320	142
997	47365	94
998	47408	47
999	47453	0
