iter	MultiClass
0	1.613766797
1	1.455311392
2	1.339629022
3	1.242585564
4	1.16124264
5	1.096230183
6	1.034014075
7	0.978538607
8	0.9245201968
9	0.8902474474
10	0.845099597
11	0.8065251999
12	0.7779691889
13	0.7480536059
14	0.7238861512
15	0.7027197237
16	0.6796388257
17	0.6589249319
18	0.6401947896
19	0.6237352019
20	0.606493471
21	0.59000863
22	0.5766161671
23	0.5643458497
24	0.5531452559
25	0.5409522656
26	0.5335385417
27	0.5236884177
28	0.5125221399
29	0.5032667483
30	0.4920498399
31	0.48398511
32	0.4772095551
33	0.4691118955
34	0.4641274345
35	0.4585061397
36	0.453445235
37	0.4510486848
38	0.445470555
39	0.441423813
40	0.4385935642
41	0.4343917581
42	0.4267490341
43	0.4254493135
44	0.4216971994
45	0.4177727953
46	0.4149242875
47	0.4120776971
48	0.4069618553
49	0.4044054821
50	0.4035895606
51	0.4011240123
52	0.3986323028
53	0.397293813
54	0.3939762012
55	0.3911973557
56	0.3875267989
57	0.3846120347
58	0.3813518118
59	0.3798351592
60	0.3762858605
61	0.3738489971
62	0.3720058065
63	0.3715228709
64	0.3709399427
65	0.3696873975
66	0.3667915732
67	0.3647001653
68	0.362822955
69	0.3610728153
70	0.3593587613
71	0.35809849
72	0.3565021082
73	0.3560218383
74	0.3543929126
75	0.3531676009
76	0.3514106846
77	0.3503947004
78	0.3496996909
79	0.3488285182
80	0.3473180972
81	0.3470076942
82	0.3441124908
83	0.3424622062
84	0.3410145804
85	0.3406394425
86	0.3402998809
87	0.3389017831
88	0.3373222844
89	0.3362267046
90	0.334521977
91	0.3323750119
92	0.3311198356
93	0.3301476073
94	0.3286035454
95	0.3283408745
96	0.3270650179
97	0.3265923219
98	0.3254665826
99	0.323960134
100	0.3220886654
101	0.3219643896
102	0.3214936523
103	0.321147359
104	0.3195291743
105	0.3192884718
106	0.3187515551
107	0.3184115475
108	0.3182581075
109	0.3181268063
110	0.3173300435
111	0.3171995715
112	0.3170716188
113	0.3160643832
114	0.3152230606
115	0.3140756958
116	0.3122200668
117	0.3103509794
118	0.3101066762
119	0.3074722355
120	0.3056313652
121	0.30536006
122	0.305230926
123	0.3051000857
124	0.3045696508
125	0.3043797734
126	0.3037058129
127	0.302278563
128	0.3000333885
129	0.2999273242
130	0.2985842881
131	0.297681939
132	0.2972164081
133	0.2959662485
134	0.2958009065
135	0.295538015
136	0.295429578
137	0.2953003111
138	0.2943658837
139	0.2933136271
140	0.2931812821
141	0.2930720634
142	0.2921117429
143	0.2912515541
144	0.2905144387
145	0.290373271
146	0.28900568
147	0.2888980532
148	0.2881975855
149	0.2873949304
150	0.2870396055
151	0.2868949017
152	0.2866590955
153	0.2855566943
154	0.285412259
155	0.2850711325
156	0.284004187
157	0.2824334131
158	0.2823410465
159	0.2821963065
160	0.2813758636
161	0.2807385865
162	0.2798425235
163	0.2797100213
164	0.2794613802
165	0.2792634356
166	0.2789138374
167	0.278569701
168	0.2776053196
169	0.2761490032
170	0.2753259302
171	0.2752344173
172	0.274872753
173	0.27478408
174	0.2744021881
175	0.2741975175
176	0.2740885517
177	0.2738832286
178	0.2732353569
179	0.273124846
180	0.2719782303
181	0.2703126477
182	0.2701683592
183	0.2699822029
184	0.269268728
185	0.269164945
186	0.2679318871
187	0.2678068893
188	0.2673524316
189	0.2672577645
190	0.2671139708
191	0.26697544
192	0.266747818
193	0.2663992916
194	0.2660419049
195	0.2659403065
196	0.2657463642
197	0.2654091438
198	0.2652106398
199	0.2645797901
200	0.2636405133
201	0.2621635392
202	0.261553012
203	0.2614127892
204	0.2612406407
205	0.2604724368
206	0.260309189
207	0.2600736584
208	0.2599440942
209	0.2598649151
210	0.2595701959
211	0.2594496714
212	0.2593097504
213	0.2587975067
214	0.2586689652
215	0.258372559
216	0.2582123289
217	0.2575135428
218	0.2574271063
219	0.2571347374
220	0.2568936501
221	0.2567823467
222	0.2566779738
223	0.2565602495
224	0.2563830546
225	0.2562767898
226	0.2560542901
227	0.2559598163
228	0.2558068967
229	0.2556906282
230	0.2554024493
231	0.255216136
232	0.2549872856
233	0.2544520435
234	0.2539064783
235	0.2536511491
236	0.2535264556
237	0.25325325
238	0.2527532567
239	0.2526350811
240	0.2524973344
241	0.2523940823
242	0.2523118094
243	0.2522140459
244	0.2521266808
245	0.2516575969
246	0.2513752357
247	0.2512639515
248	0.2511544922
249	0.251007511
250	0.2508638299
